Time,Step,Training loss,Validation loss,Full Validation loss
21:10:12,1505,0.2478,-,-
21:10:10,1504,0.1444,-,-
21:10:08,1503,0.206,-,-
21:10:08,1502,0.2482,-,-
21:10:06,1501,0.1901,-,-
21:10:04,1500,0.2593,0.1908,-
21:10:02,1499,0.2687,-,-
21:10:00,1498,0.1918,-,-
21:10:00,1497,0.5923,-,-
21:09:58,1496,0.4156,-,-
21:09:56,1495,0.537,-,-
21:09:54,1494,0.2952,-,-
21:09:54,1493,0.4174,-,-
21:09:52,1492,0.3441,-,-
21:09:49,1491,0.1796,-,-
21:09:47,1490,0.233,-,-
21:09:45,1489,0.507,-,-
21:09:45,1488,0.2049,-,-
21:09:43,1487,0.2844,-,-
21:09:41,1486,0.2549,-,-
21:09:39,1485,0.2656,-,-
21:09:39,1484,0.5863,-,-
21:09:37,1483,0.3586,-,-
21:09:35,1482,0.3001,-,-
21:09:33,1481,0.148,-,-
21:09:33,1480,0.358,-,-
21:09:31,1479,0.4277,-,-
21:09:29,1478,0.1878,-,-
21:09:27,1477,0.1573,-,-
21:09:27,1476,0.4121,-,-
21:09:25,1475,0.3412,-,-
21:09:23,1474,0.2975,-,-
21:09:21,1473,0.4349,-,-
21:09:19,1472,0.1498,-,0.4046
21:09:05,1471,0.6307,-,-
21:09:03,1470,0.6351,-,-
21:09:03,1469,0.3764,-,-
21:09:01,1468,0.3144,-,-
21:08:59,1467,0.2739,-,-
21:08:57,1466,0.3899,-,-
21:08:57,1465,0.4403,-,-
21:08:55,1464,0.2893,-,-
21:08:53,1463,0.166,-,-
21:08:51,1462,0.5179,-,-
21:08:49,1461,0.4015,-,-
21:08:49,1460,0.3226,-,-
21:08:47,1459,0.3311,-,-
21:08:45,1458,0.4303,-,-
21:08:43,1457,0.4474,-,-
21:08:43,1456,0.4017,-,-
21:08:41,1455,0.3987,-,-
21:08:39,1454,0.523,-,-
21:08:37,1453,0.5501,-,-
21:08:37,1452,0.3166,-,-
21:08:35,1451,0.2697,-,-
21:08:33,1450,0.2626,-,-
21:08:31,1449,0.4719,-,-
21:08:29,1448,0.2945,-,-
21:08:29,1447,0.2327,-,-
21:08:27,1446,0.2914,-,-
21:08:25,1445,0.3841,-,-
21:08:23,1444,0.3215,-,-
21:08:23,1443,0.3825,-,-
21:08:21,1442,0.4048,-,-
21:08:19,1441,0.263,-,-
21:08:17,1440,0.2124,-,-
21:08:17,1439,0.2681,-,-
21:08:15,1438,0.2548,-,-
21:08:13,1437,0.3871,-,-
